fips,state,county,5/26/2021,All
1001,Alabama,Autauga,7135,1459673
1003,Alabama,Baldwin,21593,4503876
1005,Alabama,Barbour,2331,539938
1007,Alabama,Bibb,2662,570116
1009,Alabama,Blount,6856,1418063
1011,Alabama,Bullock,1233,318498
1013,Alabama,Butler,2216,546827
1015,Alabama,Calhoun,14614,3044531
1017,Alabama,Chambers,3654,845021
1019,Alabama,Cherokee,1859,423542
1021,Alabama,Chilton,4424,968678
1023,Alabama,Choctaw,613,171402
1025,Alabama,Clarke,3518,795059
1027,Alabama,Clay,1578,357302
1029,Alabama,Cleburne,1502,319780
1031,Alabama,Coffee,5601,1195265
1033,Alabama,Colbert,6341,1409723
1035,Alabama,Conecuh,1115,283424
1037,Alabama,Coosa,1097,197568
1039,Alabama,Covington,4206,951695
1041,Alabama,Crenshaw,1539,345387
1043,Alabama,Cullman,9830,2055653
1045,Alabama,Dale,4894,1077859
1047,Alabama,Dallas,3590,932545
1049,Alabama,DeKalb,8890,2044024
1051,Alabama,Elmore,10224,2176446
1053,Alabama,Escambia,3963,928130
1055,Alabama,Etowah,13972,3035895
1057,Alabama,Fayette,2139,443311
1059,Alabama,Franklin,4271,1071898
1061,Alabama,Geneva,2553,541680
1063,Alabama,Greene,928,218815
1065,Alabama,Hale,2247,499682
1067,Alabama,Henry,1925,416907
1069,Alabama,Houston,10705,2331891
1071,Alabama,Jackson,6861,1495558
1073,Alabama,Jefferson,80140,16654179
1075,Alabama,Lamar,1446,312365
1077,Alabama,Lauderdale,9507,1955280
1079,Alabama,Lawrence,3071,632789
1081,Alabama,Lee,16084,3608066
1083,Alabama,Limestone,10110,2107978
1085,Alabama,Lowndes,1412,365327
1087,Alabama,Macon,1619,351366
1089,Alabama,Madison,35328,7238621
1091,Alabama,Marengo,2503,575556
1093,Alabama,Marion,3167,690326
1095,Alabama,Marshall,12336,2849250
1097,Alabama,Mobile,41475,9107426
1099,Alabama,Monroe,1787,403587
1101,Alabama,Montgomery,24856,5733581
1103,Alabama,Morgan,14506,3148240
1105,Alabama,Perry,1081,283740
1107,Alabama,Pickens,2354,534072
1109,Alabama,Pike,3132,728352
1111,Alabama,Randolph,1844,424310
1113,Alabama,Russell,4493,1032036
1115,Alabama,St. Clair,9997,2059106
1117,Alabama,Shelby,25370,5107858
1119,Alabama,Sumter,1055,270141
1121,Alabama,Talladega,8367,1741474
1123,Alabama,Tallapoosa,4070,891210
1125,Alabama,Tuscaloosa,26016,5810613
1127,Alabama,Walker,7282,1655938
1129,Alabama,Washington,1687,389276
1131,Alabama,Wilcox,1275,316182
1133,Alabama,Winston,2782,607912
2013,Alaska,Aleutians East Borough,367,53930
2016,Alaska,Aleutians West Census Area,702,113729
2020,Alaska,Anchorage,30530,6206056
2050,Alaska,Bethel Census Area,3898,718682
2068,Alaska,Denali Borough,109,18369
2070,Alaska,Dillingham Census Area,229,44046
2090,Alaska,Fairbanks North Star Borough,7930,1481699
2100,Alaska,Haines Borough,28,6533
2110,Alaska,Juneau City and Borough,1411,302792
2122,Alaska,Kenai Peninsula Borough,4509,934118
2130,Alaska,Ketchikan Gateway Borough,626,90139
2150,Alaska,Kodiak Island Borough,1119,215697
2158,Alaska,Kusilvak Census Area,1300,236913
2170,Alaska,Matanuska-Susitna Borough,11654,1947698
2180,Alaska,Nome Census Area,367,77550
